Course Code,Course Name,Course Units,Course Description,Prerequisites
ENG 20,Introduction to Engineering Research,2,"Introduction to research in engineering. Topics include defining a research problem, finding and reading technical papers, technical writing, and effective practices for presenting research. Students write a proposal on their lab placement research project. This course is for students in the Guided Engineering Apprenticeship in Research (GEAR).",department approval required.
ENG 100C,Technical Writing/Communication for Engineers and Scientist,2,"Principles and procedures of technical writing and professional communication. The course is ideal for students pursuing careers in science and/or engineering and covers organizing information, writing for technical forms such as proposals and abstracts, and designing visual aids.",None
ENG 100D,Design for Development,4,"An introduction to the practice of human-centered design and team engineering within a humanitarian context. Includes a group project designing a solution for a local or global nonprofit organization. Topics include design process, contextual listening, project management, needs and capacity assessment, stakeholder analysis, ethical issues, models of leadership, gender and cultural issues, sustainable community development, and social entrepreneurship. ENG 100D is the gateway course for the Global TIES program, but it is open to all undergraduate students. Please go to http://globalties.ucsd.edu for information about Global TIES. Recommended preparation: one university-level mathematics course.",CAT 2 or DOC 2 or HUM 2 or MCWP 40 or MMW 2 or WCWP 10B or SYN 1.
ENG 100L,Design for Development Lab,2,"Faculty-directed, interdisciplinary, long-term humanitarian engineering, technology, and social innovation projects. Students work in teams to design, build, test, and deliver solutions to real-world problems experienced by nonprofit organizations and the communities they serve. ENG 100L is the laboratory course for the Global TIES program. Enrollment in this course is limited to students who have applied to and been accepted into the Global TIES program. Please go to http://globalties.ucsd.edu to apply to the program. May be taken for credit six times.",ENG 100D. Department approval required.
ENG 201,Venture Mechanics,4,"Examines the engineering/entrepreneurism interface. Discovery, development, and implementation of new product ideas. Understanding markets, competitors, and selling innovations. Cultivating effective working relationships between research, engineering, manufacturing, and marketing elements of an organization. Priority enrollment given to engineering majors.",None
ENG 202,Enterprise Dynamics,4,"Case studies of start-ups, strategic technology management, practice in use of industrial decision-making tools, and speakers from successful firms combined with experience in making management decisions dynamically in a competitive computer-simulated enterprise. Field study of ongoing processes in a local high technology company. Priority enrollment given to engineering majors.",None
ENG 203,Applied Innovations,4,"Course includes the examination of business plans developed by early stage technology businesses. Students expected to work on the development of business plans for real, innovative business organizations. Will explore all of the business research and analysis that needs to be undertaken in order to develop a complete business plan. Completion of ENG 201 or ENG 202 preferred.",None
ENG 207,Corporate Entrepreneurship for Global Competitiveness,4,Explore corporate entrepreneurship and innovation process using the medical device industry as a case example. This highly dynamic industry segment provides an approachable model to analyze corporate strategies and behaviors that affect overall competitiveness.,"ENG 201, ENG 202, ENG 203, or consent of the instructor."
ENG 208,Basics of Entrepreneurism and Technology Commercialization,4,"Learn basics of start-up through a series of lectures, workshops, and assignments. Students will learn to effectively communicate the values of their ideas to investors and partners. Learn to validate market potential of a technology.",graduate standing.
ENG 210,Systems Engineering,4,"This course examines the complexity of integrating components of product engineering, marketing and client requirements into a single engineering system. Case studies explore successes and failures in engineered systems and how to detect and avoid potential failures using strong leadership skills, systemic analysis and thinking.",graduate standing.
ENG 211,Engineering Leadership in Academia,4,"This course is designed to teach leadership in teaching and learning at the college/university level. Students will learn through readings on engineering leadership, proposal development, ethics, and cognitive science, and thorough practical experience writing and developing course and project development plans.",graduate standing.
ENVR 30,Introduction to Environmental Studies,4,"Examines global and regional environmental issues. Fundamental scientific and civic literacy is introduced within community, policy, and economic contexts. The scope of problems include air and water pollution, climate disruption, solid waste disposal, hazardous waste treatment, and environmental impact assessment.",none.
ENVR 87,Environmental Studies First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",None
ENVR 102,Selected Topics in Environmental Studies,4,"An interdisciplinary course focusing on one of a variety of topics related to environmental studies such as environmental policy and politics, foreign study in environmental problems, environmental history, nature writers, ethics and the environment. May be repeated three times for credit as topics vary.",upper-division standing or consent of instructor.
ENVR 105,Conservation Solutions,4,"A project-based course in which students will develop and implement a curriculum module for high school students at the Dawson Los Monos Canyon Reserve. Includes an introduction to the natural history and resource management challenges of this ecological preserve. Students will conduct research projects which will be used to create a curriculum module for a high school environmental science course and guide high school students through field research and a discussion of conservation solutions. Course may include a required field trip, and students are responsible for their own transportation.",upper-division standing or consent of instructor.
ENVR 110,Environmental Law,4,"Explores environmental policy in the United States and the ways in which it is reflected in law. The social and political issues addressed include environmental justice and environmental racism, as well as the role of government in implementing environmental law.",upper-division standing or consent of instructor.
ENVR 111,Environmental Law and Federal Indian Policy,4,"An examination of the contemporary and historical environmental cases affecting American Indian tribes and nations including the history, case law, and repercussions of environmental law and federal policies on Native American federal trust lands. This course will analyze the background and case law pertaining to federal and state laws and policies of land, water, and natural resources as it applies to the access, use, and protection of sacred lands and sites.",upper-division standing or consent of instructor.
ENVR 120,Coastal Ecology,4,"Explores the diverse ecosystems of coastal San Diego County (salt marsh, rocky intertidal, sandy beach, etc.) in the classroom and in the field with attention to basic principles of field ecology, natural history, and techniques for collecting ecological data. Course and/or materials fee may apply.",upper-division standing or consent of instructor.
ENVR 140,Wilderness and Human Values,4,"“Wilderness” plays a central role in the consciousness of American environmentalists and serves as focal point for public policies, recreation, and political activism. This course explores its evolving historical, philosophical, ecological, and aesthetic meanings and includes guest speakers and a field component.",upper-division standing or consent of instructor.
ENVR 141,Wilderness and Human Values Workshop,2,"Explores historical and cultural perspectives on the human relationship with the natural world, from prehistory to the present. The course investigates how humans have interacted with the natural world and how this interaction has been influenced by such factors as class, race, and gender. The course considers the cultural, political, and economic ramifications of this interaction and even explores ideas about the future of wilderness. Will include unique content to host country. Program or materials fees may apply.",upper-division standing required. Must apply and be accepted to the Global Seminar Program.
ENVR 142GS,Wilderness and Human Values Abroad,4,"Explores historical and cultural perspectives on the human relationship with the natural world, from prehistory to the present. The course investigates how humans have interacted with the natural world and how this interaction has been influenced by such factors as class, race, and gender. The course considers the cultural, political, and economic ramifications of this interaction and even explores ideas about the future of wilderness. Will include unique content to host country. Program or materials fees may apply.",upper-division standing required. Must apply and be accepted to the Global Seminar Program.
ENVR 144,Wilderness Training,2,"Provides technical skills to deliver wilderness programs and leadership skills to manage student groups on wilderness programs. The course combines reading and experiential components with assessment through competency demonstration and a reflective essay due at the end of the course. Course topics include leadership and group management, decision making and risk management, the art of teaching and facilitating, conflict resolution, and working in and understanding wilderness environments. Students must participate in two quarters of non-credit-bearing work with Outback Adventures (as part of their Outdoor Leadership program) in order to enroll in ENVR 144.",upper-division standing and department approval required.
ENVR 150,Environmental Justice,4,"This course explores the relationship between humans and the environment, focusing on the intrinsic connections between the environment and social, racial, and economic hierarchies that reveal structural inequities. Topics include environmental problems, community responses, policy debates, the burdens of environmental contamination and health disparities (and their effects on communities of color), and the intertwined processes of environmental justice.",upper-division standing or consent of instructor. Students will not receive credit for both ENVR 150 and ENVR 150GS.
ENVR 150GS,Environmental Justice,4,"This course explores the relationship between humans and the environment, focusing on the intrinsic connections between the environment and social, racial, and economic hierarchies that reveal structural inequities. Topics include environmental problems, community responses, policy debates, the burdens of environmental contamination and health disparities (and their effects on communities of color), and the intertwined processes of environmental justice.",upper-division standing; program or materials fees may apply. Must apply to Global Seminar Program and be accepted. Students will not receive credit for both ENVR 150 and ENVR 150GS.
ENVR 152,Indigenous Approaches to Climate Change,4,"Inhabiting landscapes largely altered by colonialism and capitalist exploitation of natural resources, Indigenous peoples are among the major architects of environmental movements focusing on sustainability, land and water rights, and environmental justice. This course will take a global approach in examining how Indigenous communities throughout the world approach climate change and advocate for environmental justice, environmental adaptation, food sovereignty, and ecological restoration.",upper-division standing or consent of instructor.
ENVR 195,Apprentice Teaching,4,"Instructor will define assistant’s responsibilities in preparing class presentations, leading students’ discussions, and evaluating students’ work. May be taken two times for credit.",department approval required.
ENVR 198,Directed Group Study,4,"Directed group research and study, normally with a focus on areas not otherwise covered in the curriculum.",upper-division standing or consent of instructor. Department stamp required. May be taken three times for credit as topics vary.
ENVR 199,Independent Study,4,Independent study in a topic not generally covered in the regular curriculum.,"consent of instructor, director of Environmental Studies. May be taken two times for credit as content varies. Department stamp required."
ENVR 500,Apprentice Teaching in Environmental Studies,4,"A course in which teaching assistants are aided in learning proper teaching methods by means of supervision of their work by the faculty: handling of discussions, preparation and grading of examinations and other written exercises, and student relations.",graduate standing.
ERC 1,First Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking, organizational, interpersonal, and wellness skills. P/NP grades only.",open to ERC NFRS students only.
ERC 2,Transfer Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking, organizational, interpersonal, and wellness skills. P/NP grades only.",open to ERC transfer students only.
ERC 20,First-year Student Honors Seminar: International Themes,1,"This weekly seminar focuses on a chosen international theme with faculty speakers. The structure of the seminar is informal, giving students the opportunity to participate in interactive discussions. Pass/Not Pass only. May be taken for credit three times as topics vary.",open to students in the Eleanor Roosevelt College First-year Student Honors Program only.
ERC 89,Practicum in Math Tutoring,2,"Individual project on a topic chosen by the student, done under direction of a faculty member.","by invitation only. Pass/Not Pass only. Repeatable for credit twice, up to a total of six units over three quarters."
ERC 92,Honors Project,2,"Individual project on a topic chosen by the student, done under direction of a faculty member.","by invitation only. Pass/Not Pass only. Repeatable for credit twice, up to a total of six units over three quarters."
ERC 188,Transfer Seminar: The Research University,1,"This weekly seminar focuses on the skills required to write an upper-division research paper and prepare for a winter quarter internship through Academic Internship Program. The structure of the seminar is informal, giving students the opportunity to participate in interactive discussions based on required reading and faculty speakers.",department stamp.
ERC 192A,Global Service Research Seminar,2,"This is the first course of a two-course elective sequence (ERC 192A and ERC 192B) entitled ERC Global Service and Research. ERC 192A provides an academic introduction to the culture and history of the nation and region selected for this undergraduate academic, practicum, and research experience to prepare students for the subsequent service and research portion (ERC 192B). Note: The course is open to all students. Students must have completed course work in relevant topics, such as regional history, economics, culture.",department stamp.
ERC 196,Honors Project,4,"Senior thesis research project for students who have been accepted into the Eleanor Roosevelt College Individual Studies major. Project will be carried out under supervision of one or more faculty members. Depending on scope of the project, may be taken for four or eight units of credit in a single quarter, or eight units distributed over two quarters.",admission to Eleanor Roosevelt College Individual Studies major.
ERC 199,ERC Independent Studies,4,"The content of this independent study course, which may not duplicate any existing course on campus, will be determined by a supervising faculty member and tailored to fit specific content needs of students pursuing the Eleanor Roosevelt College Individual Studies major.",admission to Eleanor Roosevelt College Individual Studies major.
ERC 90,Undergraduate Seminar,1,"A seminar intended for exposing undergraduate students, especially first-year students and sophomores, to exciting research programs conducted by the faculty.",none. Pass/Not Pass only.
ESYS 10,Introduction to Environmental Systems,4,"This course explores the interdisciplinary character of environmental issues through an examination of a particular topic (climate change, for example) from numerous disciplinary perspectives (e.g., biology, chemistry, physics, political science, and economics).",none.
ESYS 87,First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate college, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students with preference given to entering first-year students. (P/NP grades only)",None
ESYS 90,Perspectives on Environmental Issues,1,"Provides an introduction to environmental systems. Faculty members from departments in the natural sciences, geosciences, and social sciences will offer perspectives in these areas.",None
ESYS 101,Environmental Biology,4,"This course surveys biochemical and physiological processes governing the relationship between organisms and their environments, such as those involved in element cycling and cellular homeostasis. The course introduces biological perspectives on human activities ranging from antibiotic use to genetic engineering.","BILD 1 or 2 or 3 or equivalent, or consent of instructor."
ESYS 102,The Solid and Fluid Earth,4,Earth’s dynamic physical systems interact in complex ways with profound impact on our environment. Processes such as volcanism and weathering enable geochemical exchange between solid and fluid (ocean and atmosphere) systems. Sea level and climate changes interface with tectonic processes.,"MATH 10A or MATH 20A, CHEM 6A, PHYS 1A or 2A, or consent of instructor."
ESYS 103,Environmental Challenges: Science and Solutions,4,"This course explores the impacts of human, social, economic, and industrial activity on the environment. It highlights the central roles in ensuring sustainable development played by market forces, technological innovation, and government regulation on local, national, and global scales.",MATH 11 or MATH 20B or consent of instructor.
ESYS 187A,Senior Internship Project I,4,"The first quarter of the three-quarter senior project sequence. In this course, the student works in a self-selected internship (off-campus, research project or on-campus project), focused on an interdisciplinary environmental problem or research topic.",ESYS 103.
ESYS 187B,Senior Internship Project II,4,"This is the second quarter of the three-quarter senior project sequence. In this course, the student continues work on their self-selected internship (off-campus, research project or on-campus project), focused around an interdisciplinary environmental problem or research topic. A final evaluation of their internship signed by the student, an internship supervisor, and a faculty mentor is required at the end of the course.",ESYS 187A.
ESYS 187C,Environmental Systems Senior Seminar,4,This is the third quarter of the three-quarter senior project sequence. This seminar provides a venue for students to develop a written report and a poster on their internship results. Students present their posters in the ESYS symposium at the end of the quarter.,ESYS 187B.
ESYS 199,Independent Study,4,Individually guided readings or projects in the area of environmental systems.,None
ETHN 1,Introduction to Ethnic Studies: Land and Labor,4,"This course examines key historical events and debates in the field that center around land and labor, including disputes about territory and natural resources, slavery and other forms of unfree labor, labor migration and recruitment, and US and transnational borders. Students may not receive credit for both ETHN 1R and ETHN 1.",None
ETHN 1R,Remote—Introduction to Ethnic Studies: Land and Labor,4,"This online course examines key historical events and debates in the field that center around land and labor, including disputes about territory and natural resources, slavery and other forms of unfree labor, labor migration and recruitment, and US and transnational borders. Students may not receive credit for both ETHN 1R and ETHN 1.",None
ETHN 2,Introduction to Ethnic Studies: Circulations of Difference,4,"Focusing on historical and contemporary migration and the circulation of commodities, knowledge, bodies, and culture, this course looks at how racial formation is shaped and contested by such movements within national and transnational contexts. Students may not receive credit for both ETHN 2R and ETHN 2.",None
ETHN 2R,Remote—Introduction to Ethnic Studies: Circulations of Difference,4,"Focusing on historical and contemporary migration and the circulation of commodities, knowledge, bodies, and culture, this online course examines how racial formation is shaped and contested by such movements within national and transnational contexts. Students may not receive credit for both ETHN 2R and ETHN 2.",None
ETHN 3,Introduction to Ethnic Studies: Making Culture,4,"Through examining the historical and contemporary politics of representation in both popular and community-focused media, film, art, music, and literature, this course tracks racial formation through studying the sphere of cultural production, consumption, and contestation. Students may not receive credit for both ETHN 1C and ETHN 3.",None
ETHN 3R,Remote—Introduction to Ethnic Studies: Making Culture,4,"Through examining the historical and contemporary politics of representation in both popular and community-focused media, film, art, music, and literature, this course tracks racial formation through studying the sphere of cultural production, consumption, and contestation via this online learning course. Students will not receive credit for both ETHN 3R and ETHN 3.",None
ETHN 20,Introduction to Asian American Studies,4,"This course introduces students to key issues in Asian American lives, with emphasis on the global historical context of migration; changing ethnic and racial consciousness; economic, social, and political status; cultural production; and family and gender relations.",None
ETHN 20R,Remote Introduction to Asian American Studies,4,"This distance learning course introduces students to key issues in Asian American lives, with emphasis on the global historical context of migration; changing ethnic and racial consciousness; economic, social, and political status; cultural production; and family and gender relations. Students will not receive credit for both ETHN 20R and ETHN 20.",None
ETHN 30,Introduction to Chicanx and Latinx Studies,4,"Introduction to Chicanx/Latinx/Hispanic history, culture, and activism with focus on race and class differences within US Latinx cultures and in relation to other groups; gender, sexuality, and colonialism; and new ways of worldmaking within and across these categories.",None
ETHN 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",None
ETHN 97,Field Studies in Racial and Ethnic Communities,4,Supervised community fieldwork on topics of importance to racial and ethnic communities in the San Diego County region. Regular individual meetings with faculty sponsor and final project and/or written report are required.,"lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 98,Directed Group Studies,4,Directed group study on a topic or in a field not included in the regular department curriculum by special arrangement with a faculty member.,"lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 99,Independent Study,4,Directed study on a topic or in a field not included in the regular department curriculum by special arrangement with a faculty member.,"lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 100A,Ethnic Studies: Theoretical Approaches,4,"An advanced survey of key issues, themes, and debates in the field of critical ethnic studies focusing on the connection between race and social structures. Students will use diverse theoretical frameworks to identify and interpret contemporary and historical social problems.","ETHN 1 or ETHN 2 or ETHN 3, ethnic studies majors or minors, or consent of instructor."
ETHN 100B,Interdisciplinary Methodologies,4,"An introduction to interdisciplinary research methodologies in critical ethnic studies. By developing a critical analysis of the politics of knowledge production, students will learn to identify different methodological approaches in the field and to evaluate their use in practical application.","ETHN 100A, ethnic studies major or minor, or consent of instructor."
ETHN 100C,Social Justice Praxis,4,"An intensive capstone experience for ethnic studies majors, this course combines an advanced exploration of praxis-based approaches to social justice with practicum-based independent campus, community, creative, or research projects.","ETHN 100A and ETHN 100B, ethnic studies major or minor, or consent of instructor."
ETHN 100H,Honors Research Design,4,"This discussion-based course will focus on the application of advanced research methods to the design of extensive, independent research-based projects.",ETHN 100A and ETHN 100B. Department approval required.
ETHN 100M,Critical Health and Medical Writing,4,"This intensive capstone course focuses on reflective and analytical writing about the students’ cumulative experiences with race, gender, and sexuality with respect to medical and health sciences. It prepares the students’ professional portfolio and potential applications to graduate or medical schools. Students develop their professional voices as informed advocates for racial/gendered/classed justice in medicine and health via practicum-based projects. Prerequisites: ETHN 100A and ETHN 100B.",None
ETHN 101,Ethnic Images in Film,4,"An upper-division lecture course studying representations of ethnicity in the American cinema. Topics include ethnic images as narrative devices, the social implications of ethnic images, and the role of film in shaping and reflecting societal power relations.",None
ETHN 101TV,Ethnic Images on TV,4,"Adopting an ethnic studies lens on the medium, this class focuses on socially significant TV shows that reflect critically on race, gender, class, ability, sexuality, and nation. Students will study the significance of race and related forms of difference in contemporary TV, with a particular emphasis on streaming, audience algorithms, and binge watching.",None
ETHN 102,Science and Technology in Society: Race/Gender/Class,4,"This course examines the role of science and technology in forming popular conceptions of race, gender and class, and vice versa. We also consider how some populations benefit from the results of experimentation while others come to be its subjects.",None
ETHN 103,Environmental Racism,4,"This course will examine the concept of environmental racism, the empirical evidence of its widespread existence, and the efforts by government, residents, workers, and activists to combat it. We will examine those forces that create environmental injustices in order to understand its causes as well as its consequences. Students are expected to learn and apply several concepts and social scientific theories to the course material.",None
ETHN 103A/HIUS 103,The United States and the Pacific World,4,"History of the United States in the Pacific, with an emphasis on Hawai’i, Guam, the Mariana Islands, and the Marshall Islands, from the nineteenth century to the present. Topics include colonialism and imperialism, cultural representations, indigenous knowledge and sovereignty, militarism, tourism, and environmentalism. Students will not receive credit for both HIUS 103 and ETHN 103A.",None
ETHN 104,"Race, Space, and Segregation",4,"Through in-depth studies of housing segregation, urban renewal and displacement, neighborhood race effects, and the location of hazards and amenities, this course examines how space becomes racialized and how race becomes spatialized in the contemporary United States.",None
ETHN 105,Ethnic Diversity and the City,4,"(Cross-listed with USP 104.) This course will examine the city as a crucible of ethnic identity, exploring both the racial and ethnic dimensions of urban life in the United States from the Civil War to the present.",None
ETHN 106,"Life, Death, and the Human",4,"Using interdisciplinary approaches, this course examines some of the contexts in which the conditions of life and death become sites of political, economic, and cultural significance, and how categories of difference impact access to the protections of “humanity.”",None
ETHN 107,Fieldwork in Racial and Ethnic Communities,4,"(Cross-listed with USP 130.) This is a research course examining social, economic, and political issues in ethnic and racial communities through a variety of research methods that may include interviews and archival, library, and historical research.",None
ETHN 108,"Race, Culture, and Social Change",4,(Cross-listed with MUS 151.) Aggrieved groups often generate distinctive forms of cultural expression by turning negative ascription into positive affirmation and by transforming segregation into congregation. This course examines the role of cultural expressions in struggles for social change by these communities inside and outside the United States.,None
ETHN 109,Race and Social Movements,4,"This course explores collective mobilizations for resources, recognition, and power by members of aggrieved racialized groups, past and present. Emphasis will be placed on the conditions that generate collective movements, the strategies and ideologies that these movements have developed, and on the prospect for collective mobilization for change within aggrieved communities in the present and future.",None
ETHN 109A,"Race, Empire, and Japanese America",4,"This course examines the impact of U.S. and Japanese empires on the Japanese American community. Using primary sources like artwork and oral histories, we examine the struggle against racial exclusion during WWII, the postwar development of the current community, and ongoing solidarity work against current processes of exclusion, incarceration, and detention.",None
ETHN 110,Cultural Worldviews of Indigenous America,4,"This course analyzes Native American written and oral traditions. Students will read chronicles and commentaries on published texts, historic speeches, trickster narratives, oratorical and prophetic tribal epics, and will delve into the methodological problems posed by tribal literature in translation.",None
ETHN 111,Native American Literature,4,"This course analyzes Native American written and oral traditions. Students will read chronicles and commentaries on published texts, historic speeches, trickster narratives, oratorical and prophetic tribal epics, and will delve into the methodological problems posed by tribal literature in translation.",None
ETHN 112A,History of Native Americans and Indigenous Peoples in the U.S. I,4,"This course examines the histories of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on precolonial and postcontact interaction and knowledge systems of indigenous groups from the 1400s to mid-nineteenth century.",None
ETHN 112B,History of Native Americans and Indigenous Peoples in the U.S. II,4,"This course examines the history of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on and analyses of postcontact interactions, federal laws and policies, and decolonial efforts among American Indians, Pacific Islanders, other tribal communities, and indigenous peoples/nations in the United States from the late nineteenth century to the present.",None
ETHN 112C,California Native American History,4,"An introduction to California Native (Indian) history, and how it has shaped people, both Indian and non-Indian, and their possible futures. The course follows four interconnecting themes: land and people; Spanish colonization; dispossession and subordination related to the creation of California; and issues of “survivance.”",None
ETHN 113,Decolonizing Education,4,"This course considers decolonial theories of education in relation to classroom pedagogy, focusing on US urban high schools.",None
ETHN 113A,Decolonizing Geology,4,"The origins, development, and practice of the geological sciences are closely tied to colonization, but these ties rarely are acknowledged, discussed, critiqued, or used as a basis for rethinking present-day practices and trends. We will deconstruct the historical relationship between colonialism and geology, discuss how this relationship has developed over time, and explore practical methods for how the field of geology (and, by extension, other fields of Western science) might be decolonized.",None
ETHN 114A,Representing Native America,4,History and theory: Introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization. Study of Plains Indian drawings from 1860 to 1890 will allow the class to create new approaches to designing a museum exhibition.,None
ETHN 114B,Representing Native America—Exhibition Design,4,"This course follows the introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization (part one). It develops the proposal completed by students in part one of the course, completing a curatorial brief for an exhibition of Native American art with a partner museum incorporating new and decolonizing approaches to representation.",ETHN 114A.
ETHN 115,"Monsters, Orphans, and Robots",4,"This course considers dark agencies, queer threats, and how they seep through cracks in containers meant to disable them. This class will be writing intensive with an artistic production component. Recommended: ETHN 100 is recommended prior to enrollment in this course.",None
ETHN 116,The United States–Mexico Border in Comparative Perspective,4,"This course critically explores the US-Mexico frontier and the social-cultural issues on both sides of the international demarcation. Social-historical and political-economic patterns illuminate border life, ethnic identity, social diversity, and cultural expression. Border ethnography is complemented by film and music.",None
ETHN 117,Organic Social Movements,4,This course focuses on local responses to global change and social disruption through the examination of organic movements in colonial and racialized contexts around the world.,None
ETHN 118,Contemporary Immigration Issues,4,This course examines the diversity of today’s immigrants—their social origins and contexts of exit and their adaptation experiences and contexts of incorporation.,None
ETHN 119,Race in the Americas,4,"This course explores the genesis, evolution, and contradictions of racially heterogeneous societies in the Americas, from European conquest to the present. Topics: the social history of Native Americans, blacks, and Asians, their interactions with European settlers, and racial, sexual, and class divisions.",None
ETHN 120,Race and Performance: The Politics of Popular Culture,4,"This course explores how racial categories and ideologies have been constructed through performance and displays of the body in the United States and other sites. Racialized performances, whether self-displays or coerced displays, such as world’s fairs, museums, minstrelsy, film, ethnography, and tourist performances are considered.",None
ETHN 120D,Race and Oral History in San Diego,4,"(Cross-listed with HIUS 120D.) This course examines the history of racial and ethnic communities in San Diego. Drawing from historical research and interdisciplinary scholarship, we will explore how race impacted the history and development of San Diego and how “ordinary” folk made sense of their racial identity and experiences. Toward these ends, students will conduct oral history and community-based research, develop public and digital humanities skills, and preserve a collection of oral histories for future scholarship. Concurrent enrollment in an Academic Internship Program course strongly recommended. Students may not receive credit for HIUS 120D and ETHN 120D.",None
ETHN 121,Contemporary Asian American History,4,"The course will study changes in Asian American communities as a result of renewed immigration since 1965; the influx of refugees from Southeast Asia; and the economic impact of contemporary social movements on Asian Americans’ current economic, social, and political status. Students may not receive credit for both ETHN 121R and ETHN 121.",None
ETHN 121R,Remote—Contemporary Asian American History,4,"This online course will study changes in Asian American communities as a result of renewed immigration since 1965; the influx of refugees from Southeast Asia; and the economic impact of contemporary social movements on Asian Americans’ current economic, social, and political status. Students may not receive credit for both ETHN 121R and ETHN 121.",None
ETHN 122,Asian American Culture and Identity,4,"A survey of Asian American cultural expressions in literature, art, and music to understand the social experiences that helped forge Asian American identity. Topics: culture conflict, media portrayals, assimilation pressures, the model minority myth, and interethnic and class relations.",None
ETHN 122A,Asian American Culture and Health,4,"This course provides students with an overview of issues related to Asian American community health. The course utilizes a broad view of “health” that assumes spiritual, emotional, mental, and physical health are all interconnected. The course examines a broad spectrum of Asian American community health historical realities, challenges to achieving optimal health, and practices that contribute to healthy living among Asian American communities.",None
ETHN 122B,Asian Americans in Education,4,"This course provides students with an overview of Asian American issues in education. The course includes analysis of a wide range of issues, such as diverse experiences of Asian American educational policy issues, college student experiences, the role of family and culture in college experiences, mental health in college, and college student activism.",None
ETHN 123,Asian American Politics,4,"This course will examine the development of Asian American politics by studying the historical and contemporary factors, such as political and economic exclusion, that have contributed to the importance and complexity of ethnicity as a mobilizing force in politics.",None
ETHN 123A,Asian American Activism,4,"This course provides an overview of Asian American involvement in social and political activism in the U.S. The course includes discussion of Asian American leaders in historical social justice movements, systemic racism’s role in shaping Asian American mobilization, the role of community intersections, and solidarity in Asian American activism. Special attention is given to historical and ongoing Asian American efforts to advance social justice on college campuses.",None
ETHN 124,Asian American Literature,4,(Cross-listed with LTEN 181.) Selected topics in the literature by men and women of Asian descent who live and write in the United States. May be repeated for credit when topics vary.,None
ETHN 125,Asian American History,4,"This course explores historical issues in Asian American history, focusing on major topics such as immigration, colonization, war, community, social movements, and politics. We use sources such as scholarly writing, primary documents, cultural productions, and creative work to inform our analysis. Assignments are designed to provoke active discussion and lead to a critical understanding of the links between history and our present-day political and socioeconomic context. Students may receive credit for one of the following: ETHN 125R or ETHN 125.",None
ETHN 125R,Remote—Asian American History,4,"This distance learning course explores historical issues in Asian American history, focusing on major topics such as immigration, colonization, war, community, social movements, and politics. We use sources such as scholarly writing, primary documents, cultural productions, and creative work to inform our analysis. Assignments are designed to provoke active discussion and lead to a critical understanding of the links between history and our present-day political and socioeconomic context. Students may receive credit for one of the following: ETHN 125R or ETHN 125.",None
ETHN 126,Comparative Filipino and Vietnamese American Identities and Communities,4,"This course compares the historical and contemporary social, political, and economic experiences of Filipino and Vietnamese Americans, paying particular attention to the impact of US wars in the Philippines and in Vietnam on their respective lives.",None
ETHN 127,Sexuality and Nation,4,"(Cross-listed with CGS 112.) This course explores the nexus of sex, race, ethnicity, gender, and nation and considers their influence on identity, sexuality, migration, movement, and borders and other social, cultural, and political issues that these constructs affect.",None
ETHN 128,Hip-Hop: The Politics of Culture,4,"(Cross-listed with MUS 152.) Examination of hip-hop’s technology, lyrics, and dance and its influences in graffiti, film, music video, fiction, advertising, gender, corporate investment, government, and censorship with a critical focus on race, gender, and popular culture and the politics of creative expression.",None
ETHN 129,Asian and Latina Immigrant Workers in the Global Economy,4,"(Cross-listed with USP 135.) This course will explore the social, political, and economic implications of global economic restructuring, immigration policies, and welfare reform on Asian and Latina immigrant women in the United States. We will critically examine these larger social forces from the perspectives of Latina and Asian immigrant women workers, incorporating theories of race, class, and gender to provide a careful reading of the experiences of immigrant women on the global assembly line.",None
